,t,inlet,1,2,3,4,5
1573,94.38,0,0.0,0.0,0.0,0.0,0.0
1574,94.44,0,0.0,0.0,0.0,0.0,0.0
1575,94.5,0,0.0,0.0,0.0,0.0,0.0
1576,94.56,0,0.0,0.0,0.0,0.0,0.0
1577,94.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1578,94.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1579,94.74,0,0.0,0.0,0.0,0.0,0.0
1580,94.8,0,0.0,0.0,0.0,0.0,0.0
1581,94.86,0,0.0,0.0,0.0,0.0,0.0
1582,94.92,0,0.0,0.0,0.0,0.0,0.0
1583,94.97999999999999,0,0.0,0.0,0.0,0.0,0.0
1584,95.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1585,95.1,0,0.0,0.0,0.0,0.0,0.0
1586,95.16,0,0.0,0.0,0.0,0.0,0.0
1587,95.22,0,0.0,0.0,0.0,0.0,0.0
1588,95.28,0,0.0,0.0,0.0,0.0,0.0
1589,95.34,0,0.0,0.0,0.0,0.0,0.0
1590,95.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1591,95.46,0,0.0,0.0,0.0,0.0,0.0
1592,95.52,0,0.0,0.0,0.0,0.0,0.0
1593,95.58,0,0.0,0.0,0.0,0.0,0.0
1594,95.64,0,0.0,0.0,0.0,0.0,0.0
1595,95.7,0,0.0,0.0,0.0,0.0,0.0
1596,95.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1597,95.82,0,0.0,0.0,0.0,0.0,0.0
1598,95.88,0,0.0,0.0,0.0,0.0,0.0
1599,95.94,0,0.0,0.0,0.0,0.0,0.0
1600,96.0,0,0.0,0.0,0.0,0.0,0.0
1601,96.06,0,0.0,0.0,0.0,0.0,0.0
1602,96.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1603,96.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1604,96.24,0,0.0,0.0,0.0,0.0,0.0
1605,96.3,0,0.0,0.0,0.0,0.0,0.0
1606,96.36,0,0.0,0.0,0.0,0.0,0.0
1607,96.42,0,0.0,0.0,0.0,0.0,0.0
1608,96.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1609,96.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1610,96.6,0,0.0,0.0,0.0,0.0,0.0
1611,96.66,0,0.0,0.0,0.0,0.0,0.0
1612,96.72,0,0.0,0.0,0.0,0.0,0.0
1613,96.78,0,0.0,0.0,0.0,0.0,0.0
1614,96.84,0,0.0,0.0,0.0,0.0,0.0
1615,96.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1616,96.96,0,0.0,0.0,0.0,0.0,0.0
1617,97.02,0,0.0,0.0,0.0,0.0,0.0
1618,97.08,0,0.0,0.0,0.0,0.0,0.0
1619,97.14,0,0.0,0.0,0.0,0.0,0.0
1620,97.2,0,0.0,0.0,0.0,0.0,0.0
1621,97.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1622,97.32,0,0.0,0.0,0.0,0.0,0.0
1623,97.38,0,0.0,0.0,0.0,0.0,0.0
1624,97.44,0,0.0,0.0,0.0,0.0,0.0
1625,97.5,0,0.0,0.0,0.0,0.0,0.0
1626,97.56,0,0.0,0.0,0.0,0.0,0.0
1627,97.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1628,97.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1629,97.74,0,0.0,0.0,0.0,0.0,0.0
1630,97.8,0,0.0,0.0,0.0,0.0,0.0
1631,97.86,0,0.0,0.0,0.0,0.0,0.0
1632,97.92,0,0.0,0.0,0.0,0.0,0.0
1633,97.97999999999999,0,0.0,0.0,0.0,0.0,0.0
1634,98.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1635,98.1,0,0.0,0.0,0.0,0.0,0.0
1636,98.16,0,0.0,0.0,0.0,0.0,0.0
1637,98.22,0,0.0,0.0,0.0,0.0,0.0
1638,98.28,0,0.0,0.0,0.0,0.0,0.0
1639,98.34,0,0.0,0.0,0.0,0.0,0.0
1640,98.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1641,98.46,0,0.0,0.0,0.0,0.0,0.0
1642,98.52,0,0.0,0.0,0.0,0.0,0.0
1643,98.58,0,0.0,0.0,0.0,0.0,0.0
1644,98.64,0,0.0,0.0,0.0,0.0,0.0
1645,98.7,0,0.0,0.0,0.0,0.0,0.0
1646,98.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1647,98.82,0,0.0,0.0,0.0,0.0,0.0
1648,98.88,0,0.0,0.0,0.0,0.0,0.0
1649,98.94,0,0.0,0.0,0.0,0.0,0.0
1650,99.0,0,0.0,0.0,0.0,0.0,0.0
1651,99.06,0,0.0,0.0,0.0,0.0,0.0
1652,99.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1653,99.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1654,99.24,0,0.0,0.0,0.0,0.0,0.0
1655,99.3,0,0.0,0.0,0.0,0.0,0.0
1656,99.36,0,0.0,0.0,0.0,0.0,0.0
1657,99.42,0,0.0,0.0,0.0,0.0,0.0
1658,99.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1659,99.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1660,99.6,0,0.0,0.0,0.0,0.0,0.0
1661,99.66,0,0.0,0.0,0.0,0.0,0.0
1662,99.72,0,0.0,0.0,0.0,0.0,0.0
1663,99.78,0,0.0,0.0,0.0,0.0,0.0
1664,99.84,0,0.0,0.0,0.0,0.0,0.0
1665,99.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1666,99.96,0,0.0,0.0,0.0,0.0,0.0
1667,100.02,0,0.0,0.0,0.0,0.0,0.0
1668,100.08,0,0.0,0.0,0.0,0.0,0.0
1669,100.14,0,0.0,0.0,0.0,0.0,0.0
1670,100.2,0,0.0,0.0,0.0,0.0,0.0
1671,100.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1672,100.32,0,0.0,0.0,0.0,0.0,0.0
1673,100.38,0,0.0,0.0,0.0,0.0,0.0
1674,100.44,0,0.0,0.0,0.0,0.0,0.0
1675,100.5,0,0.0,0.0,0.0,0.0,0.0
1676,100.56,0,0.0,0.0,0.0,0.0,0.0
1677,100.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1678,100.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1679,100.74,0,0.0,0.0,0.0,0.0,0.0
1680,100.8,0,0.0,0.0,0.0,0.0,0.0
1681,100.86,0,0.0,0.0,0.0,0.0,0.0
1682,100.92,0,0.0,0.0,0.0,0.0,0.0
1683,100.97999999999999,0,0.0,0.0,0.0,0.0,0.0
1684,101.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1685,101.1,0,0.0,0.0,0.0,0.0,0.0
1686,101.16,0,0.0,0.0,0.0,0.0,0.0
1687,101.22,0,0.0,0.0,0.0,0.0,0.0
1688,101.28,0,0.0,0.0,0.0,0.0,0.0
1689,101.33999999999999,0,0.0,0.0,0.0,0.0,0.0
1690,101.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1691,101.46,0,0.0,0.0,0.0,0.0,0.0
1692,101.52,0,0.0,0.0,0.0,0.0,0.0
1693,101.58,0,0.0,0.0,0.0,0.0,0.0
1694,101.64,0,0.0,0.0,0.0,0.0,0.0
1695,101.7,0,0.0,0.0,0.0,0.0,0.0
1696,101.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1697,101.82,0,0.0,0.0,0.0,0.0,0.0
1698,101.88,0,0.0,0.0,0.0,0.0,0.0
1699,101.94,0,0.0,0.0,0.0,0.0,0.0
1700,102.0,0,0.0,0.0,0.0,0.0,0.0
1701,102.06,0,0.0,0.0,0.0,0.0,0.0
1702,102.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1703,102.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1704,102.24,0,0.0,0.0,0.0,0.0,0.0
1705,102.3,0,0.0,0.0,0.0,0.0,0.0
1706,102.36,0,0.0,0.0,0.0,0.0,0.0
1707,102.42,0,0.0,0.0,0.0,0.0,0.0
1708,102.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1709,102.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1710,102.6,0,0.0,0.0,0.0,0.0,0.0
1711,102.66,0,0.0,0.0,0.0,0.0,0.0
1712,102.72,0,0.0,0.0,0.0,0.0,0.0
1713,102.78,0,0.0,0.0,0.0,0.0,0.0
1714,102.83999999999999,0,0.0,0.0,0.0,0.0,0.0
